"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000225886",204.460937097716,2.1471132160066,0.163840934698361,13.1048642999965,3.08814076454747e-39,5.55269380628895e-37
"ENSG00000154277",46.5705194441285,3.18462795980781,0.351191407460877,9.06806912741047,1.21144693910973e-19,5.24624775166294e-18
"ENSG00000158270",8.98335065712369,-3.30481608202541,0.316674068876262,-10.4360173655922,1.69785154838381e-25,1.22832568372134e-23
"ENSG00000277639",1.57167678296856,2.88580395663171,0.6339412974412,4.55216274484685,5.30972355408127e-06,4.14571026199433e-05
"ENSG00000131203",1884.39669946147,3.36853346240809,0.220853493036835,15.2523440589018,1.58827303409442e-52,5.95544280235378e-50
"ENSG00000060656",6.36342343760204,2.84817815417022,0.339229857394656,8.39601259171206,4.61896132703184e-17,1.50603609673646e-15
"ENSG00000259713",0.950036555684568,2.5839170875647,0.881857083116424,2.93008599356408,0.00338868212254368,0.0137383714691259
"ENSG00000165949",1663.8262374804,2.94057876029329,0.204832117840794,14.356043335835,9.76448948691823e-47,2.7798959097618e-44
"ENSG00000229057",4.64279734499569,2.61706170455475,0.451650423561473,5.79444093933978,6.85491410675207e-09,8.5957603605345e-08
"ENSG00000157445",111.061854462045,-2.08914805270639,0.168439614114518,-12.4029496486856,2.51877946189007e-35,3.63591136688891e-33
"ENSG00000213492",172.847091260584,2.35573027946482,0.179190364071011,13.1465232055183,1.78180901998159e-39,3.26102868674845e-37
"ENSG00000241015",6.946924839941,2.15925887461242,0.57100342539915,3.78151649984065,0.000155875888443645,0.000890673841660796
"ENSG00000281450",1.7245453997237,2.48410922350531,0.721962786126022,3.44077183927275,0.000580057436981154,0.00290201021579437
"ENSG00000196141",2350.652911197,3.26440947304265,0.163117302549599,20.0126499274965,4.27317602261134e-89,1.64234178959039e-85
"ENSG00000084628",1.25353143830403,3.24694892229135,0.797139922747053,4.07324840926537,4.63619293837147e-05,0.000296482995582586
"ENSG00000179626",1.24914008436102,2.58034916078595,1.02305740202378,2.52219392155473,0.0116625395297991,0.0398209997693208
"ENSG00000146950",1.35909442519245,-2.12381685035921,0.902761719382288,-2.35257743517573,0.0186438074582287,0.0591214055196119
"ENSG00000228318",712.826672941769,2.1424538685407,0.165430547941818,12.9507753869872,2.32592798565544e-38,3.97307265416376e-36
"ENSG00000166920",41.0614955828165,2.62831509185129,0.22434907276174,11.715292867034,1.06422845684456e-31,1.20300854274263e-29
"ENSG00000154736",66.2340421835275,-4.96498508937314,0.301024188785668,-16.4936416219637,4.07623859285042e-61,2.55779812274228e-58
"ENSG00000108702",3.68671545366311,3.32725961995673,0.485292189627929,6.85619857700105,7.07170606918747e-12,1.34884458132325e-10
"ENSG00000108700",276.653097795492,5.13326036047698,0.312699043252896,16.4159771871302,1.46995040655409e-60,8.69164714429204e-58
"ENSG00000135333",1.86888484470034,3.73185825759088,0.72353125920385,5.15783970646588,2.49815337925357e-07,2.48337284034625e-06
"ENSG00000225476",107.851173347302,-2.00678894835802,0.222937202531093,-9.00158845439057,2.22475125425611e-19,9.31940419817613e-18
"ENSG00000222881",0.935945551023624,2.20697666062593,0.737903215555818,2.99087551605741,0.00278178868346938,0.0115802405430047
"ENSG00000242103",0.676890184162578,2.65797697814394,1.15130984785529,2.30865477533728,0.0209627457907054,0.0652027116440702
"ENSG00000166278",177.946889761267,2.85491950525874,0.192144313556586,14.858204504803,6.15528489609354e-50,2.01336749681051e-47
"ENSG00000196371",136.945758486979,2.56754906962599,0.61645576592931,4.16501752685434,3.11328646648075e-05,0.000207060824107471
"ENSG00000270588",1.15908646804833,-2.17758143295821,0.90558385178587,-2.40461601503149,0.0161894665996029,0.0525137176429992
"ENSG00000082175",2.40789827139355,2.66755681476165,0.668549131343874,3.99006847768914,6.60542220379473e-05,0.000410213929509345
"ENSG00000260823",17.7857281633911,2.07687848674923,0.210040915466597,9.88797102762351,4.69445781920162e-23,2.81365486485365e-21
"ENSG00000224607",16.1040546069225,2.20112262089986,0.284238947922806,7.74391629643115,9.64004839968467e-15,2.54641381567959e-13
"ENSG00000250447",1.59426056046253,2.4453228111617,0.758561958438569,3.22362963757789,0.00126576990739289,0.00579146240217398
"ENSG00000270437",9.1660240184082,-2.52794803138666,0.349890606244569,-7.22496685040939,5.01224087993839e-13,1.1015823469297e-11
"ENSG00000259641",7.48448973021127,-2.22107168682016,0.279562619443304,-7.944809256842,1.94489824140018e-15,5.45820477810512e-14
"ENSG00000227394",1.66573797122345,2.77809291284139,1.13511029959815,2.4474211130186,0.0143882618604769,0.0474520956155834
"ENSG00000126262",889.51095473407,2.20435408488303,0.348411751754502,6.3268649056254,2.50192210764004e-10,3.81013368219951e-09
"ENSG00000124233",13.7879272292895,-4.15702920572429,0.316185140359139,-13.1474527898513,1.76004258705202e-39,3.24048080383764e-37
"ENSG00000271390",0.784765874916929,-2.5002133961234,1.18352517580494,-2.11251390949327,0.034642394196143,0.0984244773931629
"ENSG00000275676",2.70540809528506,-3.1214727658638,0.467418172762055,-6.67811597357988,2.42033480918262e-11,4.26464380389329e-10
"ENSG00000100095",26.0265822418023,-2.59379156828732,0.196318522139705,-13.2121591993317,7.46518803512551e-40,1.39550098373387e-37
"ENSG00000203808",0.868828673118384,3.29770107633374,1.09592461200862,3.0090583240846,0.00262058802786672,0.0109820389931604
"ENSG00000226496",1.83896713166327,-3.852779228234,0.553271230757528,-6.9636355806154,3.31601720735657e-12,6.59492762448851e-11
"ENSG00000122643",16055.5711317826,2.20026735978242,0.119732666230141,18.3765001570519,2.02627532265326e-75,3.27904670240105e-72
"ENSG00000095739",59.8208956954875,2.03381346703231,0.203125660296347,10.0125875975744,1.34195829177487e-23,8.40350134362563e-22
"ENSG00000278863",2.35349431164943,4.73175812478702,1.73953309659593,2.72013112831629,0.00652560331784927,0.0241913100089114
"ENSG00000223720",1.13629153572203,2.00599983702243,0.742019152590079,2.70343404212724,0.00686270666839562,0.02524828326277
"ENSG00000117010",855.520751938631,2.37818011758534,0.143018908660528,16.6284314420986,4.33802809350793e-62,2.83790105938486e-59
"ENSG00000079393",3.72861561678042,2.34025750165618,0.476075477642229,4.91572788677615,8.84531893139642e-07,8.02026013517091e-06
"ENSG00000275598",3.58860090104185,-2.17947962477746,0.447097158236296,-4.87473379024606,1.08955282126829e-06,9.73851180102795e-06
"ENSG00000261147",62.9641867526486,2.60857663405782,0.357476949469481,7.29718835837982,2.93843304868664e-13,6.63835422101162e-12
"ENSG00000255337",17.5099585568552,2.44203926191795,0.234687304275656,10.4055022041142,2.34018860461697e-25,1.67334369828274e-23
"ENSG00000178965",133.069876617193,2.81938266840566,0.264726404305398,10.6501755115939,1.74036617590784e-26,1.3547098433073e-24
"ENSG00000130558",23.8399203853223,-2.73434798032392,0.267079816052188,-10.2379431764683,1.34055920302793e-24,9.11906500342915e-23
"ENSG00000236054",0.510762036200618,-2.08691466434282,0.959219753838376,-2.17563770553297,0.0295823615995806,NA
"ENSG00000169248",150.422006595327,3.43550581623081,0.198670247570508,17.2925028193341,5.35747790347399e-67,4.70646780280328e-64
